chatbot_sid,time,user_id,turns,user_messages,bot_last_message,category,axis1,axis2,axis3,overall_rating,category_tags,discovery_tags,issue_tags,confidence,input_tokens,output_tokens,cost_estimated_usd,reasoning,skipped_by_gate,gate_action,Gate 1 Category tag,learning_ask_type,gate_reasons,gate_source
aead6d4f-fb36-4e80-a61a-2509d7a7e742,2026-08-13T14:59:57.266Z,1,5,"U1: What is psychology
U2: আমি ভাত খাব ট্রান্সলেট
U3: Help me with my upcoming test
U4: Show me my upcoming assignments on CK-12
U5: Translate the following text into English: 'পাখি উড়ে '","The sentence **""পাখি উড়ে""** in English is: **""The bird flies.""** or simply **""A bird flies.""**",Conceptual,,,,,Academic,,,,1625,64,0.000368,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Homework / Assignment Help,gate_llm,gate_llm
dde15eef-b24e-4eb3-a03a-251460f23089,2026-08-13T14:24:58.795Z,31183544,12,"U1: Icse
U2: Cambrigde conection CH3 is whst
U3: Geoghraphy
U4: Same chapter i need notes
U5: closmate classuate Dete Plan \( \_\_\_\_ \) \( \_\_\_\_ \) dassaate \( \_\_\_\_ \) * ENGLISH LITAK TOUT Date \( \_\_\_\_ \) Pea \( \_\_\_\_ \) UPCK OS 1. An Extraordinary feat I'nst 1. An Extraordinary feat 2 -stopping by word on a long evening 2 - stopping by wood 1 - Rise of christianity 3 - Engin
U6: The chapter with marks are complete today is 13 august help me complete this syllabus till 25 august
U7: 1.1½ hrs no i need to
U8: I mean i need to complete the syllabus at any cost till 25 i have some more chapterd that idk for exam if i complete it i am getting something i really want and neef and 13 august study time finished already
U9: Eng xomposition and computer are diferent
U10: Daily study time on weekdays is 4:00 to 5:30 add that in tasks and send reminder notification for that everydsy st that time sccording to indian time zone
U11: Also at next days until 25 aug
U12: I am in grade 7","Got it, thanks for telling me you’re in **Grade 7**. Here’s what we have so far: - **Daily study time:** 4:00–5:30 pm (1.5 hours) - **Until:** 25 August - **Grade:** 7 - Subjects you mentioned: **English Literature, English Composition, Computer**, and maybe others. To make a simple timetable that a",Conceptual,,,,,Academic,,,,1931,62,0.000872,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Other Academic,gate_llm,gate_llm
7e1a95a9-6091-42c6-b1b3-b3c7fcf70cc7,2026-08-13T14:45:41.242Z,1,3,"U1: What is a material
U2: Start a 5 min timer
U3: What is comprehend","**""Comprehend"" means to understand something clearly.** If you comprehend a story, lesson, or idea, it means you: - understand what it says - can explain it in your own words - know what it really means, not just read the words",Conceptual,,,,,Non-Academic,,,,1611,62,0.000744,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
e270a1d2-48dd-4e82-ab68-f1246b939e42,2026-08-13T14:30:04.079Z,1,6,"U1: Hi my name Siddharth nice to meet you
U2: Im very poor in science social science and math
U3: Can we start learning tomorrow at 5am
U4: Please send me the notification
U5: Ok you are very good i feel good 🙂
U6: Ok bye thank you 😊","You’re welcome 😊 Bye for now, and all the best for your studies.",Small Talk,,,,,Non-Academic,,,,1618,62,0.000746,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
62249838-d0d7-47b1-b079-b28efa650e2f,2026-08-13T14:25:52.265Z,1,8,"U1: My name is Sagar Kumar
U2: Yes
U3: ➗
U4: Kya aap Hindi mein bol sakte hain
U5: Says reminder
U6: Kya aap humko full form ka computer ka full form bata sakte hain
U7: Kya aap humko ful from ka ful form bata sakte hain
U8: Kya aap humko bata sakte hain 15 August aane mein Kitna time hai abhi","Thik hai, aasan tareeke se samajhte hain 🙂 Aaj ki **exact tareekh** mujhe yahan se nahi pata chalti, isliye main **seedha ganit karke** nahi bata sakta ki 15 August aane mein **kitne din/baje** baaki hain। Tum ye kaam khud aise kar sakte ho: 1. Aaj ki tareekh dekho (calendar ya mobile se) 2. Jo mah",Small Talk,,,,,Academic,,,,1739,62,0.000795,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Other Academic,gate_llm,gate_llm
19343fa9-f354-4288-af6f-092cace51488,2026-08-13T12:53:24.970Z,1,5,"U1: Maths
U2: Chapter 2
U3: Which element is the least reactive
U4: Please explain how to solve 2x+y = 10, 3x + 2y = 15
U5: Show me my upcoming assignments on CK-12",Type: ASSIGNMENT No pending assignments (due).,NA,,,,,Academic,,,,1605,64,0.000360,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Homework / Assignment Help,gate_llm,gate_llm
481d41fc-3a81-4e05-8cf9-353867a034da,2026-08-13T14:21:19.262Z,1,4,"U1: I want the summary of understanding the weather NCERT textbook class 7
U2: Like a para
U3: How to view that I have always said so this before I want how to see in your sexy
U4: More oara","Here’s a bit longer summary in **two short paragraphs**: Weather is the day-to-day condition of the atmosphere at a place, described by elements like temperature, humidity, rainfall, wind speed and direction, and cloudiness. These elements keep changing frequently, which is why one day can be sunny ",Summarization,,,,,Academic,,,,1648,63,0.000760,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Summary / Notes,gate_llm,gate_llm
0f91a2f9-235d-45e2-aca4-4e6f67452ce9,2026-08-13T14:14:14.724Z,1,4,"U1: Give me a summary of lesson understand the weather
U2: Ncrt claas7 social lesson 2 understanding the weather summary
U3: I mean like a whole para
U4: Thank you","You’re welcome! If you need help with any other chapter or a shorter/longer summary, you can ask anytime.",Summarization,,,,,Academic,,,,1603,63,0.000742,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Summary / Notes,gate_llm,gate_llm
c18a18b5-b361-4745-9a63-9a8f340bbc4a,2026-08-13T13:33:40.174Z,1,14,"U1: How do I convert pounds to ounces
U2: How the world was formed
U3: I want to I will send some photos you want help for me to understand it
U4: Now you send now can you explain it
U5: I can't understand explain again please
U6: can you explain this
U7: can you explain this clearly Yes but I need to see what this is
U8: Now I going to ask the maths
U9: Hey hey flexi you want to help for my friend also I will put video call then they then I call you
U10: can you explain this clearly thank you
U11: Sorry what I want game to play you want to give me schedule for reading daily please give your schedule as time table in a
U12: I want only Monday to Fridays time table I will come to come out the school in 6 o'clock only after 6:30 you give us time table for me thank you to
U13: Then Sunday and Saturday I want after the 10 o'clock a.m. and night 7:00 p.m.
U14: Give me answer","**Here’s a Saturday & Sunday timetable with study/reading + game time, starting after 10:00 AM and ending by 7:00 PM.** - **10:00 – 10:30 AM** – Freshen up + breakfast - **10:30 – 11:15 AM** – Homework / revision - **11:15 – 11:45 AM** – **Reading time** (story/English/book) - **11:45 AM – 12:30 PM*",Unit Conversion,,,,,Non-Academic,,,,1876,62,0.000466,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
91dd2be6-fee3-43e1-8467-bb7e6ed5cdd5,2026-08-13T13:02:03.745Z,1,3,"U1: Can I ask a question
U2: How you reply so fast
U3: Show me my upcoming assignments on CK-12",Type: ASSIGNMENT No pending assignments (due).,Small Talk,,,,,Non-Academic,,,,1574,62,0.000729,"Skipped full rating by Level-1 gate: gate_llm, non_academic_or_gibberish_skip",1,skip,Non-Academic,,gate_llm | non_academic_or_gibberish_skip,gate_llm
78894a3a-2ec1-4b9c-9bf1-b6818a607840,2026-08-13T13:40:44.331Z,1,4,"U1: Hello
U2: I am commerce student in 12th class
U3: Sat my study time table
U4: Sat my study time table",Type: REMINDER Task: Sat my study time table Time: 2026-08-13 06:44:44 Time: 2026-08-13 06:44:44,Small Talk,,,,,Academic,,,,1610,62,0.000743,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Other Academic,gate_llm,gate_llm
efef6d1e-f34f-442a-ad12-190ac6b27643,2026-08-13T13:21:43.207Z,30884764,7,"U1: Plant kingdom class 11 summary cbse
U2: From the starting
U3: Yep
U4: Can u explain petridophyta to angiosperm
U5: Can u tell the difference
U6: Can u put some test like question
U7: 1C, 2C, 3C, 4A, 5D, 6B, 7B , 8B, 9C, 10C",Nice work—your answers are strong! Let’s check them: 1) C ✔️ Pteridophytes → spore-producing plants 2) C ✔️ Gymnosperms → “naked seeds” 3) C ✔️ Flowers → only in angiosperms 4) A ✔️ Fruit develops from the ovary 5) D ❌ - Correct: **C (Pteridophytes)** - Water is needed for fertilization in **pterido,Summarization,,,,,Academic,,,,1736,63,0.000795,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Practice / Quiz,gate_llm,gate_llm
3acfe30d-b022-44b6-9063-4f7ec24de10c,2026-08-13T11:34:15.628Z,1,39,"U1: Hi
U2: Grammer me sentence bnana sikhaye
U3: English
U4: English bhi sikhni h
U5: Iam go to school
U6: Iam playing cricket
U7: Hindi me likhke batana h kya
U8: I am eating food
U9: I am dring to water
U10: Ok
U11: I am drinking milk
U12: Ata to h lekin thodi esi hi galtiya hoti h
U13: Thank you
U14: Dhoda aur sikha do jo dimag me achi tarah se rhe
U15: I am studying . I am drinking milk everyday . She is drinks milk everyday
U16: I am shalu. He is my friend. She is my sister
U17: Ok
U18: Shalu. 14. 10th. 4❎ art
U19: Pherupur
U20: Shi h na
U21: Aur skhao mja aa raha hai padne me itna school me ni aata maja padai karane me
U22: Ok mujhe aur sikhao
U23: Tum science bhi sikha deti ho kya
U24: Abhi nhi sirf puch rhi thi baad me Sikh lugi
U25: Ok
U26: Byy aur bad me sikhugi
U27: Hi
U28: Mujhe English sikhao
U29: I am drinking water. I am sleeping
U30: I am studying. I am eating food
U31: I am going. school
U32: Are galti ho gayi thi me sahi kar ri thi aur vo sent ho gaya abhi bhej deti hu
U33: I am sleeping to night .1 ❎
U34: I am sleeping tonight night at 10 pm
U35: I am morning at 7 am
U36: Ye aata ni😔
U37: Ok
U38: I am sleeping tonight at 10pm
U39: Ye kya h","अच्छा सवाल है 🙂 ऊपर जो **[action_type=reminder]** जैसा लिखा दिखा, वो तुम्हारे लिए नहीं था। वो बस सिस्टम के अंदर की टेक्निकल लाइन है, जिसे गलती से तुमको दिख गया। तुम इसे इग्नोर कर दो – इसका तुम्हारी चैट या जवाब से कोई लेना‑देना नहीं है। अगर English practice जारी रखना चाहो, तो तुम्हारा वाक्य सही करके",Small Talk,,,,,Academic,,,,2071,62,0.000928,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Concept Explanation,gate_llm,gate_llm
2b071080-f2dc-4377-8209-2946a2b8f168,2026-08-13T13:06:12.850Z,1,7,"U1: NMMS படிக்க கெல்லுப்பன்ரியா
U2: இல்ல நிசெர்ரது தப்பு Maths SocIal Science Mat Sat அதைதான் நாட்டு சேட் பண்ணி சொல்லுவாங்க
U3: நீ சொல்றதெல்லாமே தப்பு என்ன மாமா சொன்னா வந்து சேட்டு மேட்னா வந்து மேக்ஸ் மேக்ஸ் இந்த மாதிரி அப்படி கியூப் இந்த மாதிரி வருது சாப்பிட்டு னா சயின்ஸ் சோசியல் அந்த லெசன் படிச்சு அதான் சாப்டேன். நீ சொல்றது வந்து எதுவுமே எல்லாமே தப்பு ஓகேவா கொஞ்சம் திருத்திக்க
U4: எனக்கு மேட்டெல்லாம் ஓகே. சேட்டுல தான் இந்த லெசன் படிக்கிறது ரொம்ப இதா இருக்கு இப்ப நான் எழுதப்போறது வந்து டேடு டெஸ்ட் அதுக்குள்ள மாதிரி எனக்கு சிம்பிளா வந்து கோச்சிங் டு ஓகேவா அதுதான் எனக்கு கோச்சிங் எடுத்தா ஒரு கொஞ்சம் பெட்டரா இருக்குன்னு தோணுது
U5: ஏய் எனக்கு அப்படி எல்லாம் தினமும் எல்லாம் உன்கிட்ட கோச்சிங் கேட்கல நாளைக்கு எனக்கு எக்ஸாம் என்னமோ எக்ஸாம் கடைசி எக்ஸாம் கிடையாது யூனிட் 3 டெஸ்ட் இதுல நான் எப்படியாச்சும் பாஸ் ஆயிடனும் 100க்கு மேலே எடுத்துருங்க அதுதான் நான் கேட்கிறேன் ஓகேவா இப்போ வந்து நீ டைம் வச்சு நீ வந்து எனக்கு வந்து இது பண்ணனும்
U6: நல்ல சன் எல்லாம் கண்டுபிடிச்சு சொல்லல லெசன் சொல்லி இருக்காங்க செவன்த் ல இந்த லெஸ்ஸனே எதிர்த்து லெஸ்னு சொல்லி இருக்காங்க அந்த லெசன் நான் லீவு நா உன்கிட்ட சொல்றேன் நீ அத அப்படியே கோச்சிங் கிளாஸ் எனக்கு வந்து நடத்து இப்ப வந்து எனக்கு டைம் டேபிள் அனுப்பு இன்னைக்கு டைம் டேபிள் அனுப்பு நாளைக்கு நாளைக்கு ப
U7: ஏய் எருமை மாடா நீனு லேசான அவ்ளோ பெருசா இருக்கும் தெரியுமா நீ வந்து எனக்கு சொல்லிக் கொடுக்க சொல்ற அந்த ஹெட்டிங் அனுப்புறேன் நீ அதுக்குள்ளது ஷார்ட் முக்கியமான இத மட்டும் அனுப்பி எனக்கு சொல்லிக்கொடு நீனுp கேள்வி கேளு ஓகேவா இப்ப எனக்கு டைம் டேபிள் ஃபஸ்ட்ல இருந்து எனக்கு போட்டோ அனுப்பு ஏழு அம்பத்தி ரெண்ட",Type: REMINDER Task: send time table Time: 7:30 Time: 2026-08-13 07:30:00 / 7:30,Small Talk,,,,,Academic,,,,2172,62,0.000584,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Other Academic,gate_llm,gate_llm
ba0fb94f-742d-4173-ac8b-6fef8bfa3f45,2026-08-13T12:48:48.732Z,1,14,"U1: He mujhe itne English nahin aati kya tum mujhe Punjabi ki Sath English bhi vah kar sakte ho
U2: Jab tum mujhe English khaoge to bad mein kya tumhen test bhi loge aur jab Main ninth class mein ho jaaungi kya tum mujhe Japanese language khaoge
U3: okay to tum mujhe Mujhe blanks Parker do short mein Jo Mujhse Nahin Hui main Tumhen kahungi Samjhane ko
U4: 1 am 2 is 3 are 4 was 5 are
U5: 1 am 2 is 3 are 4 is 5 are
U6: First answer hai I am girl second hand they are my friends 3rd hai she is very smart 4th Hai we are in class he is not sad forth answer sorry 5th answer
U7: Kya yeh aakhri question hai uske baad black nahi karoge toh it is a cat first second this is my book third you is my best friend 4th we are at home 5th they are not late
U8: Okay
U9: M is are practice
U10: First answer hai I am happy she is my sister they are in the park we is a good boy sorry he is a good boy we are friends kya tum mera naam manvir hai aur tum mujhe manvir kar sakte ho ya Mannu
U11: Vaise to tum mujhe vahi sikhaoge English lekin kya tum mujhe aaj ke liye thode Se aasan word Japanese language ke sikha sakte ho aur unhen bhi Hindi mein likhna aur English mein donon
U12: Kya tum mujhe roj ke 20 minut hi sikha sakte ho
U13: Hey AI kya tum sorry hai kya tu kya tum 20 minut ko kya tum mujhe 30 minut per a sakte matlab aadha ghanta 10 minut English ke 10 minut science ke aur 10 minut maths ke
U14: Okay bye flexi app see you soon take care sorry 8 second to sentences bye bye see you soon take care see you that tomorrow see you in the afternoon","Bye! 😊 Tumne bilkul accha likha: - *Bye bye, see you soon.* - *Take care, see you tomorrow in the afternoon.* Main yahin rahunga. Jab bhi free ho, bas likh dena: **“Flexi, class shuru”** aur hum English, Science, aur Maths kar lenge. Apna khayal rakhna. 👋",Conceptual,,,,,Academic,,,,2073,64,0.000932,Skipped full rating by Level-1 gate: gate_llm,1,skip,Academic,Homework / Assignment Help,gate_llm,gate_llm
